"","days_since_outplanting","treatment","complexity","density.mean","density.sd","density.se","days_comp","density.control","effect.size"
"1",1,"0%","High",1.625,2.19983765634778,0.0625721959348931,"1 - High",2.28571428571429,-0.660714285714286
"2",1,"0%","Low",2,3.74165738677394,0.106427725905536,"1 - Low",0.428571428571429,1.57142857142857
"3",1,"30%","High",0.2,0.447213595499958,0.0127205462828696,"1 - High",2.28571428571429,-2.08571428571429
"4",1,"30%","Low",0.875,1.1259916264596,0.0320277128035218,"1 - Low",0.428571428571429,0.446428571428571
"5",1,"50%","High",0.625,1.18773493916542,0.0337839399728993,"1 - High",2.28571428571429,-1.66071428571429
"6",1,"50%","Low",0.5,1.0690449676497,0.0304079216872961,"1 - Low",0.428571428571429,0.0714285714285715
"7",1,"70%","High",1.625,2.66926956300783,0.075924719998141,"1 - High",2.28571428571429,-0.660714285714286
"8",1,"70%","Low",1.75,1.83225076262581,0.0521165520510365,"1 - Low",0.428571428571429,1.32142857142857
"9",1,"100%","High",1.14285714285714,1.4638501094228,0.0416377615874565,"1 - High",2.28571428571429,-1.14285714285714
"10",1,"100%","Low",1.875,1.88509188862809,0.0536195653666302,"1 - Low",0.428571428571429,1.44642857142857
"11",2,"0%","High",2.625,2.19983765634778,0.0625721959348931,"2 - High",3,-0.375
"12",2,"0%","Low",2,1.4142135623731,0.0402258993354565,"2 - Low",0.857142857142857,1.14285714285714
"13",2,"30%","High",1.375,2.13390989232709,0.0606969462063741,"2 - High",3,-1.625
"14",2,"30%","Low",0.875,0.991031208965115,0.0281888978516311,"2 - Low",0.857142857142857,0.0178571428571429
"15",2,"50%","High",1,1.30930734141595,0.0372419461361929,"2 - High",3,-2
"16",2,"50%","Low",1,1.4142135623731,0.0402258993354565,"2 - Low",0.857142857142857,0.142857142857143
"17",2,"70%","High",1,2,0.0568880123988574,"2 - High",3,-2
"18",2,"70%","Low",2.5,2.67261241912424,0.0760198042182402,"2 - Low",0.857142857142857,1.64285714285714
"19",2,"100%","High",2.875,2.94897076476329,0.083880542714861,"2 - High",3,-0.125
"20",2,"100%","Low",2.875,2.5319388392523,0.0720184840402668,"2 - Low",0.857142857142857,2.01785714285714
"21",3,"0%","High",2,1.8516401995451,0.0526680653149723,"3 - High",2.75,-0.75
"22",3,"0%","Low",1.625,1.50594061730772,0.0428349842546722,"3 - Low",1.375,0.25
"23",3,"30%","High",1.57142857142857,1.90237946242268,0.0541112932228167,"3 - High",2.75,-1.17857142857143
"24",3,"30%","Low",1.5,2,0.0568880123988574,"3 - Low",1.375,0.125
"25",3,"50%","High",3.5,3.07059789431495,0.0873401055418473,"3 - High",2.75,0.75
"26",3,"50%","Low",2.25,1.83225076262581,0.0521165520510365,"3 - Low",1.375,0.875
"27",3,"70%","High",2.875,5.56616051305951,0.15832390414048,"3 - High",2.75,0.125
"28",3,"70%","Low",2.375,1.99553072067128,0.0567608881899245,"3 - Low",1.375,1
"29",3,"100%","High",2.125,2.69589635239509,0.0766820925605431,"3 - High",2.75,-0.625
"30",3,"100%","Low",1.625,2.77424378370549,0.0789106073824456,"3 - Low",1.375,0.25
"31",5,"0%","High",3.375,2.50356888118884,0.0712115287772322,"5 - High",2.71428571428571,0.660714285714286
"32",5,"0%","Low",3.125,2.5319388392523,0.0720184840402668,"5 - Low",2.375,0.75
"33",5,"30%","High",3.14285714285714,5.42919795883245,0.154428140398956,"5 - High",2.71428571428571,0.428571428571428
"34",5,"30%","Low",1.75,1.83225076262581,0.0521165520510365,"5 - Low",2.375,-0.625
"35",5,"50%","High",2.14285714285714,1.95180014589707,0.055517015449942,"5 - High",2.71428571428571,-0.571428571428572
"36",5,"50%","Low",2.5,3.96412483586046,0.112755591406524,"5 - Low",2.375,0.125
"37",5,"70%","High",3.57142857142857,6.07884700846969,0.172906761994291,"5 - High",2.71428571428571,0.857142857142857
"38",5,"70%","Low",4,4.78091443733757,0.135988359894568,"5 - Low",2.375,1.625
"39",5,"100%","High",2.75,2.91547594742265,0.0829278159227752,"5 - High",2.71428571428571,0.0357142857142856
"40",5,"100%","Low",4.75,6.18177043526252,0.175834316584052,"5 - Low",2.375,2.375
"41",7,"0%","High",1,1.15470053837925,0.0328443092721431,"7 - High",1.5,-0.5
"42",7,"0%","Low",1.875,2.3566016694748,0.0670311924961254,"7 - Low",0.428571428571429,1.44642857142857
"43",7,"30%","High",1.8,1.78885438199983,0.0508821851314784,"7 - High",1.5,0.3
"44",7,"30%","Low",1.25,1.28173988892331,0.0364578173465897,"7 - Low",0.428571428571429,0.821428571428571
"45",7,"50%","High",2.4,3.20936130717624,0.0912870929175277,"7 - High",1.5,0.9
"46",7,"50%","Low",2.5,1.30930734141595,0.0372419461361929,"7 - Low",0.428571428571429,2.07142857142857
"47",7,"70%","High",2.33333333333333,2.3094010767585,0.0656886185442862,"7 - High",1.5,0.833333333333333
"48",7,"70%","Low",5.33333333333333,4.96655480858378,0.14126871576516,"7 - Low",0.428571428571429,4.9047619047619
"49",7,"100%","High",2.25,1.5,0.0426660092991431,"7 - High",1.5,0.75
"50",7,"100%","Low",3,3.3466401061363,0.0951918519261978,"7 - Low",0.428571428571429,2.57142857142857
"51",9,"0%","High",1.125,1.5526475085203,0.0441635153578789,"9 - High",2.25,-1.125
"52",9,"0%","Low",1.5,1.0690449676497,0.0304079216872961,"9 - Low",1.25,0.25
"53",9,"30%","High",1.75,1.83225076262581,0.0521165520510365,"9 - High",2.25,-0.5
"54",9,"30%","Low",0.625,1.06066017177982,0.0301694245015924,"9 - Low",1.25,-0.625
"55",9,"50%","High",1,2.1380899352994,0.0608158433745921,"9 - High",2.25,-1.25
"56",9,"50%","Low",1,1.0690449676497,0.0304079216872961,"9 - Low",1.25,-0.25
"57",9,"70%","High",0.5,0.755928946018454,0.0215016476268765,"9 - High",2.25,-1.75
"58",9,"70%","Low",2.875,4.58062690656452,0.130291380127591,"9 - Low",1.25,1.625
"59",9,"100%","High",2.85714285714286,2.85356919363403,0.081166939834225,"9 - High",2.25,0.607142857142857
"60",9,"100%","Low",4,4.81070235442364,0.136835647592832,"9 - Low",1.25,2.75
"61",11,"0%","High",2.125,2.29518128757995,0.0652841507727368,"11 - High",2.5,-0.375
"62",11,"0%","Low",2.125,2.03100960115899,0.0577700496864656,"11 - Low",1,1.125
"63",11,"30%","High",2,4.07080195679286,0.115789916095663,"11 - High",2.5,-0.5
"64",11,"30%","Low",1.375,0.916125381312904,0.0260582760255182,"11 - Low",1,0.375
"65",11,"50%","High",1.25,1.48804761828569,0.0423260356795633,"11 - High",2.5,-1.25
"66",11,"50%","Low",2.75,5.11998883927355,0.145632994285303,"11 - Low",1,1.75
"67",11,"70%","High",1,1.82574185835055,0.0519314127374796,"11 - High",2.5,-1.5
"68",11,"70%","Low",2.875,2.10017006114131,0.0597372502389579,"11 - Low",1,1.875
"69",11,"100%","High",2.25,2.12132034355964,0.0603388490031847,"11 - High",2.5,-0.25
"70",11,"100%","Low",3.75,6.31890587274185,0.179734997817876,"11 - Low",1,2.75
"71",13,"0%","High",2.25,1.90862703084106,0.0542889990976402,"13 - High",2.85714285714286,-0.607142857142857
"72",13,"0%","Low",3.625,2.13390989232709,0.0606969462063741,"13 - Low",2.75,0.875
"73",13,"30%","High",2,2.9277002188456,0.083275523174913,"13 - High",2.85714285714286,-0.857142857142857
"74",13,"30%","Low",4,3.16227766016838,0.0899478453701443,"13 - Low",2.75,1.25
"75",13,"50%","High",2.125,2.3566016694748,0.0670311924961254,"13 - High",2.85714285714286,-0.732142857142857
"76",13,"50%","Low",2.75,3.84521966676993,0.109373452039769,"13 - Low",2.75,0
"77",13,"70%","High",0.625,0.517549169506766,0.0147211717859596,"13 - High",2.85714285714286,-2.23214285714286
"78",13,"70%","Low",4.375,3.50255009141299,0.0996265565139607,"13 - Low",2.75,1.625
"79",13,"100%","High",2.25,2.86605752110555,0.0815221578982457,"13 - High",2.85714285714286,-0.607142857142857
"80",13,"100%","Low",6.5,6.74007206404883,0.191714651574401,"13 - Low",2.75,3.75
"81",18,"0%","High",1.75,2.37546987833084,0.0675678799457986,"18 - High",2.5,-0.75
"82",18,"0%","Low",3,1.77281052085584,0.0504258334456359,"18 - Low",1.5,1.5
"83",18,"30%","High",1.5,1.0690449676497,0.0304079216872961,"18 - High",2.5,-1
"84",18,"30%","Low",3,1.77281052085584,0.0504258334456359,"18 - Low",1.5,1.5
"85",18,"50%","High",1.5,1.30930734141595,0.0372419461361929,"18 - High",2.5,-1
"86",18,"50%","Low",3,4.62910049886276,0.131670163287431,"18 - Low",1.5,1.5
"87",18,"70%","High",2.57142857142857,2.69920623252731,0.0767762388115435,"18 - High",2.5,0.0714285714285716
"88",18,"70%","Low",2.25,1.58113883008419,0.0449739226850722,"18 - Low",1.5,0.75
"89",18,"100%","High",1.5,1.51185789203691,0.0430032952537531,"18 - High",2.5,-1
"90",18,"100%","Low",2.625,2.92464894108189,0.0831887326112859,"18 - Low",1.5,1.125
"91",23,"0%","High",3.875,4.22365785952008,0.120137750340455,"23 - High",4.42857142857143,-0.553571428571429
"92",23,"0%","Low",5.875,6.70687280758647,0.190770331717769,"23 - Low",1.85714285714286,4.01785714285714
"93",23,"30%","High",1.625,1.18773493916542,0.0337839399728993,"23 - High",4.42857142857143,-2.80357142857143
"94",23,"30%","Low",5.25,3.69362384967083,0.105061459678395,"23 - Low",1.85714285714286,3.39285714285714
"95",23,"50%","High",1.375,1.50594061730772,0.0428349842546722,"23 - High",4.42857142857143,-3.05357142857143
"96",23,"50%","Low",1.75,1.48804761828569,0.0423260356795633,"23 - Low",1.85714285714286,-0.107142857142857
"97",23,"70%","High",2.5,2.32992949004287,0.0662725288590112,"23 - High",4.42857142857143,-1.92857142857143
"98",23,"70%","Low",3.75,4.46414285485707,0.12697810703869,"23 - Low",1.85714285714286,1.89285714285714
"99",23,"100%","High",4,3.81725406168211,0.10857799819528,"23 - High",4.42857142857143,-0.428571428571429
"100",23,"100%","Low",3.75,3.37003603202441,0.0958573257872006,"23 - Low",1.85714285714286,1.89285714285714
"101",26,"0%","High",3.625,2.92464894108189,0.0831887326112859,"26 - High",2,1.625
"102",26,"0%","Low",3.625,3.85217934606967,0.109571413200917,"26 - Low",1.375,2.25
"103",26,"30%","High",3.28571428571429,3.72890894294322,0.106065109090182,"26 - High",2,1.28571428571429
"104",26,"30%","Low",4.25,3.32737562824346,0.094643892997585,"26 - Low",1.375,2.875
"105",26,"50%","High",0.625,0.916125381312904,0.0260582760255182,"26 - High",2,-1.375
"106",26,"50%","Low",2.25,1.48804761828569,0.0423260356795633,"26 - Low",1.375,0.875
"107",26,"70%","High",2.625,3.77728171346236,0.107441024474712,"26 - High",2,0.625
"108",26,"70%","Low",2.5,2.1380899352994,0.0608158433745921,"26 - Low",1.375,1.125
"109",26,"100%","High",2.25,4.39967531269557,0.125144391869786,"26 - High",2,0.25
"110",26,"100%","Low",4.875,5.40997755474615,0.15388143510597,"26 - Low",1.375,3.5
"111",30,"0%","High",3.875,5.11126207506522,0.14538477015006,"30 - High",3.25,0.625
"112",30,"0%","Low",2.57142857142857,1.2724180205607,0.0361926660650935,"30 - Low",2.25,0.321428571428572
"113",30,"30%","High",2.75,3.4537764010676,0.0982392373634073,"30 - High",3.25,-0.5
"114",30,"30%","Low",2.75,3.53553390593274,0.100564748338641,"30 - Low",2.25,0.5
"115",30,"50%","High",2,2.20389266007736,0.0626875364861158,"30 - High",3.25,-1.25
"116",30,"50%","Low",4.125,3.94380164670733,0.11217751848826,"30 - Low",2.25,1.875
"117",30,"70%","High",4.375,5.57897840110535,0.158688496227519,"30 - High",3.25,1.125
"118",30,"70%","Low",2,1.4142135623731,0.0402258993354565,"30 - Low",2.25,-0.25
"119",30,"100%","High",1.75,1.28173988892331,0.0364578173465897,"30 - High",3.25,-1.5
"120",30,"100%","Low",3,3.33809184158512,0.0949487050363096,"30 - Low",2.25,0.75
"121",33,"0%","High",2.375,3.5431019500674,0.100780013832925,"33 - High",2.375,0
"122",33,"0%","Low",3,3.02371578407382,0.0860065905075061,"33 - Low",0.75,2.25
"123",33,"30%","High",1.14285714285714,2.19306265517513,0.0623794877595371,"33 - High",2.375,-1.23214285714286
"124",33,"30%","Low",1.75,1.66904592079256,0.0474743525181548,"33 - Low",0.75,1
"125",33,"50%","High",2.875,2.58774584753383,0.0736058589297981,"33 - High",2.375,0.5
"126",33,"50%","Low",2.25,1.90862703084106,0.0542889990976402,"33 - Low",0.75,1.5
"127",33,"70%","High",1.25,1.28173988892331,0.0364578173465897,"33 - High",2.375,-1.125
"128",33,"70%","Low",2.25,1.66904592079256,0.0474743525181548,"33 - Low",0.75,1.5
"129",33,"100%","High",1.5,1.60356745147455,0.0456118825309441,"33 - High",2.375,-0.875
"130",33,"100%","Low",3.25,4.89168390521827,0.139139087325674,"33 - Low",0.75,2.5
"131",37,"0%","High",4.125,3.56320481749626,0.101351819918698,"37 - High",3.875,0.25
"132",37,"0%","Low",3,3.11677488989592,0.0886535642904232,"37 - Low",2.83333333333333,0.166666666666667
"133",37,"30%","High",4.5,5.20988072251728,0.148189879569566,"37 - High",3.875,0.625
"134",37,"30%","Low",3.25,3.24037034920393,0.0921691143012016,"37 - Low",2.83333333333333,0.416666666666667
"135",37,"50%","High",1.75,1.58113883008419,0.0449739226850722,"37 - High",3.875,-2.125
"136",37,"50%","Low",2.85714285714286,3.07834216359885,0.0875603835853686,"37 - Low",2.83333333333333,0.0238095238095237
"137",37,"70%","High",2.125,2.3566016694748,0.0670311924961254,"37 - High",3.875,-1.75
"138",37,"70%","Low",2.5,2.97609523657138,0.0846520713591266,"37 - Low",2.83333333333333,-0.333333333333333
"139",37,"100%","High",2.5,2.32992949004287,0.0662725288590112,"37 - High",3.875,-1.375
"140",37,"100%","Low",2.625,2.38671920665766,0.0678878559104661,"37 - Low",2.83333333333333,-0.208333333333333
"141",43,"0%","High",3.875,4.82367672453878,0.137204690656821,"43 - High",2.125,1.75
"142",43,"0%","Low",4.5,3.4226138716317,0.0973528501829427,"43 - Low",1.125,3.375
"143",43,"30%","High",3.25,3.8821937833432,0.110425144040798,"43 - High",2.125,1.125
"144",43,"30%","Low",1.875,1.5526475085203,0.0441635153578789,"43 - Low",1.125,0.75
"145",43,"50%","High",2,1.60356745147455,0.0456118825309441,"43 - High",2.125,-0.125
"146",43,"50%","Low",2,2,0.0568880123988574,"43 - Low",1.125,0.875
"147",43,"70%","High",2.875,1.7268882005338,0.0491196186817036,"43 - High",2.125,0.75
"148",43,"70%","Low",4.5,5.8554004376912,0.166551046349826,"43 - Low",1.125,3.375
"149",43,"100%","High",2,1.69030850945703,0.048079145721943,"43 - High",2.125,-0.125
"150",43,"100%","Low",1.57142857142857,0.975900072948533,0.027758507724971,"43 - Low",1.125,0.446428571428571
"151",48,"0%","High",1.875,1.24642345475822,0.0354532764742563,"48 - High",3.875,-2
"152",48,"0%","Low",2.625,2.38671920665766,0.0678878559104661,"48 - Low",2.16666666666667,0.458333333333333
"153",48,"30%","High",2,1.60356745147455,0.0456118825309441,"48 - High",3.875,-1.875
"154",48,"30%","Low",3.25,3.57571171736681,0.101707566256151,"48 - Low",2.16666666666667,1.08333333333333
"155",48,"50%","High",2.625,3.9256482631171,0.111661163532879,"48 - High",3.875,-1.25
"156",48,"50%","Low",1.75,2.12132034355964,0.0603388490031847,"48 - Low",2.16666666666667,-0.416666666666667
"157",48,"70%","High",4.57142857142857,4.99523582550223,0.142084518788194,"48 - High",3.875,0.696428571428571
"158",48,"70%","Low",4.625,5.370222128952,0.15275063152822,"48 - Low",2.16666666666667,2.45833333333333
"159",48,"100%","High",2.375,2.26384628453435,0.0643928577518488,"48 - High",3.875,-1.5
"160",48,"100%","Low",5.125,3.87067731245358,0.110097569471418,"48 - Low",2.16666666666667,2.95833333333333
